aid,uid,label
1291,8014374,-1
212,73439265,-1
311,16118425,-1
2031,20622866,-1
1119,22100886,-1
692,9747566,-1
692,75674109,-1
2031,37136122,-1
411,43665387,-1
389,13202502,-1
846,56549311,-1
411,6037582,1
1338,5582496,-1
145,52179291,-1
765,66051123,-1
624,56672568,-1
2050,31885259,-1
191,38800070,-1
1119,49234157,-1
411,291872,1
1918,48882663,-1
725,77261101,-1
914,15307281,-1
561,1805505,-1
1622,79108339,-1
561,9811565,-1
561,14563849,-1
692,32351057,-1
692,51982171,-1
1284,20546493,-1
519,23151010,-1
389,43110867,-1
1950,40907366,-1
411,53204862,-1
164,66482911,-1
1566,9695536,1
2031,58155952,-1
1596,10267633,-1
1407,279571,-1
411,72723164,-1
1918,70948108,-1
1622,43760150,-1
1599,7652798,-1
561,38741611,-1
1468,37417469,-1
1566,11075160,-1
302,65861143,-1
1291,70258966,-1
886,17982191,-1
914,64064161,1
411,3029896,-1
748,22317153,-1
561,5635006,-1
765,31089864,-1
411,679614,-1
1023,19224927,-1
562,40630295,-1
1468,20194477,-1
1044,12457092,-1
1827,13865526,-1
1622,16185889,-1
191,61339397,-1
1605,51754603,-1
302,57309826,1
2118,8020395,-1
1991,37699214,-1
1496,35337322,-1
1918,79194752,-1
450,318050,-1
411,64374471,-1
727,34877218,-1
174,30714854,-1
432,48082228,1
7,77501181,-1
174,62909955,-1
1605,72269117,-1
117,45465856,-1
2050,22982271,-1
121,80055247,-1
1017,52209398,-1
191,45634688,-1
1918,75072039,-1
1468,51002764,-1
231,19427232,-1
1950,19002476,-1
1749,55658286,-1
1566,6015407,-1
686,27680555,-1
389,54228152,-1
1119,38759342,-1
12,15525256,-1
136,23308842,-1
1379,31710247,-1
561,14925319,-1
1338,38935849,1
1910,11770499,-1
1950,59419992,-1
681,25278560,-1
1291,13386803,-1
1468,74575192,-1
121,53619112,-1
1530,30243065,-1
1182,16496328,-1
1483,431945,-1
389,66095251,-1
411,24622603,-1
432,38623424,-1
1027,64223394,-1
389,69524591,-1
1566,68768006,-1
411,10856600,-1
561,12219119,-1
1021,17908890,-1
846,6550468,-1
389,1136114,-1
1950,77644090,-1
1622,19830946,-1
1291,25864040,-1
1530,2678467,-1
2047,58112028,-1
1415,10403716,-1
2201,64509419,-1
1107,35214388,-1
1379,30347103,-1
411,54138642,-1
1254,72404544,1
411,59343683,-1
302,15565656,-1
1468,42497018,-1
173,77123682,-1
1468,56074732,-1
1566,9401916,-1
117,20138170,-1
231,45015652,-1
1415,13019543,-1
1119,19426455,-1
1415,2220311,-1
1605,32928028,-1
1379,49161537,-1
1379,50793106,-1
411,17850263,-1
1377,41403522,-1
914,23786516,-1
1415,26275319,-1
2031,36433633,-1
1119,7503827,-1
1605,29719062,-1
1605,16093103,-1
1379,53124924,-1
12,27926420,-1
98,44288925,-1
411,49128405,-1
389,65956873,-1
1790,80259566,-1
1781,44539308,1
191,64754655,-1
853,45205479,-1
792,37094059,-1
914,74641087,-1
1021,58373691,-1
1468,77188155,-1
561,38610411,-1
404,835888,-1
1119,14902003,-1
389,39381120,-1
12,41101960,1
1496,13937956,-1
692,77565076,-1
1407,72740709,-1
191,66486109,-1
2205,44564009,-1
1119,56928796,-1
765,19748313,-1
916,52688632,1
914,50765928,-1
389,56117222,-1
1605,26341297,-1
914,16108173,-1
1468,20724008,-1
1017,69468806,-1
699,68749592,-1
792,80034769,-1
977,9511924,-1
1338,57373735,-1
561,55599759,-1
1605,24086177,-1
1375,58651495,-1
1714,36064575,-1
2031,75460176,-1
411,9761548,-1
2013,1076457,-1
1201,48046027,-1
1749,12591851,-1
1335,38463885,-1
1749,44348073,-1
846,13518317,-1
117,64598558,-1
1338,8233732,-1
432,9980354,-1
411,37378241,-1
404,46994939,-1
1291,38195452,-1
1119,27325720,-1
1749,37109814,-1
1317,55593084,-1
1021,50625879,-1
914,74719363,-1
1918,20972755,-1
1468,19577179,-1
1017,66539144,-1
70,61709482,-1
1496,4666476,-1
1119,31303952,-1
692,12144692,-1
411,26387811,-1
231,59001425,-1
916,9240924,-1
1918,12949984,-1
1716,80780353,-1
966,56599503,-1
411,24096104,-1
1950,81933682,-1
1119,64216006,-1
121,36598648,-1
117,43507059,-1
692,33162123,-1
660,40568634,-1
561,72306190,-1
1962,22877484,-1
191,17815419,-1
692,58771623,-1
450,71069895,-1
1291,72359174,-1
1119,55214203,-1
1827,50531525,-1
561,81619604,1
1119,69118218,-1
1107,42449720,-1
1728,4515044,-1
846,17778245,-1
1291,23915745,-1
1508,41521305,-1
173,63128682,-1
1415,76888377,-1
1407,79700876,-1
2205,22203723,-1
748,38063474,-1
692,27380554,-1
1950,81548941,-1
1827,70389179,-1
1449,71823162,-1
1023,14885313,-1
561,50825659,-1
1291,59979672,-1
191,75776404,-1
561,79363302,-1
2013,19446822,-1
1407,23324536,-1
191,11261184,-1
74,2065059,-1
1918,6717498,-1
1991,38866540,-1
1566,41837071,-1
1415,57081006,-1
914,73430299,-1
1940,40213890,-1
1940,18835505,-1
561,36463846,-1
966,16208666,-1
1566,8616697,-1
1468,53161629,-1
1635,27805675,-1
562,37880433,-1
1566,56744111,-1
1496,3082042,-1
2050,75639277,-1
411,23778468,-1
1201,7728094,-1
1379,42806955,-1
1291,36773008,-1
1379,21212779,-1
1215,75119177,-1
1201,36253617,-1
454,52627655,-1
1749,33670648,-1
1566,19579783,1
1291,57631162,-1
1254,33912096,-1
1596,67635261,-1
916,27131168,-1
1201,59264586,-1
1119,82097564,-1
1415,73085082,-1
960,6525378,-1
1468,18810308,1
1714,55042705,-1
1827,62394511,-1
206,65808725,-1
914,60792580,-1
692,38605670,-1
1605,40520130,1
1728,67926452,-1
1918,25369532,-1
692,35912758,-1
117,44801046,-1
1714,75497069,-1
960,82281233,-1
432,14909587,-1
519,40331618,-1
411,55166967,-1
624,73966209,-1
1317,80919090,-1
1254,76039341,-1
136,28929120,-1
1566,61830802,-1
191,25771153,-1
411,11275438,-1
191,68993146,-1
1918,1969904,-1
727,3279533,-1
1201,57636179,-1
2013,30896123,-1
6,42925139,-1
1635,15872446,-1
1254,55579954,-1
411,74914232,-1
613,12648422,-1
1749,20793652,-1
1991,49880589,-1
2013,31572692,-1
1468,14858452,-1
2118,18687945,-1
1407,3284941,-1
692,27321433,-1
1119,49549185,-1
1468,7034794,-1
411,68418284,-1
1728,81881239,-1
1950,48476277,-1
136,69775879,-1
2201,29965761,-1
231,5041948,-1
1566,5202275,1
411,7726213,-1
2205,17181602,-1
692,1894373,1
692,11089480,-1
411,51455429,-1
1254,63034820,-1
302,81396387,-1
692,26955800,-1
1379,17390554,-1
70,59969516,-1
7,9833718,-1
1202,70326524,-1
70,59570225,-1
1566,28508451,-1
1119,69996459,-1
624,52471857,-1
1350,53944835,-1
1468,1620363,-1
1827,44105150,1
1230,28284370,-1
12,71685165,-1
846,8435154,-1
1728,64132658,-1
191,74694921,-1
389,79356694,-1
212,31167123,-1
692,44900771,-1
692,57346334,-1
1468,67742859,1
1291,6230414,-1
136,49322991,-1
86,3987106,-1
1605,24397230,-1
1291,20932373,-1
692,49663553,-1
117,15437874,-1
692,34778959,-1
1970,489050,-1
191,51472294,-1
1017,75229910,-1
932,34514285,-1
1017,69985463,-1
1017,51079412,-1
1017,10204593,-1
404,608431,-1
1119,30647901,-1
1530,44191121,-1
369,27615499,-1
692,64652161,-1
1291,49101416,-1
916,51774886,-1
977,70001325,-1
1407,8715886,-1
1202,64417661,-1
748,79514067,-1
1119,74846435,-1
692,66062790,-1
792,66168592,-1
1716,54831206,-1
914,72231518,-1
411,25538517,-1
1119,33753529,-1
692,7739502,-1
1202,20063517,-1
1957,73207949,-1
1483,7587900,-1
1140,77253287,-1
1021,23624613,-1
1940,66959272,-1
117,44714800,-1
113,67118122,-1
1749,59103376,-1
1918,73996713,-1
916,26678054,-1
914,2918602,-1
1415,1787955,-1
561,67315524,-1
1317,55609548,-1
1605,2185337,-1
692,50550622,-1
1991,69551376,-1
404,9923425,-1
1377,53966256,-1
1566,20903805,-1
2118,36923844,1
1379,79712794,-1
916,12945013,-1
2031,38882862,-1
846,69292055,-1
136,25216086,-1
951,21708328,-1
561,25858708,-1
1230,54125113,-1
136,507897,-1
561,71577,-1
529,869801,-1
1781,2497680,-1
1119,71953156,-1
1468,7529091,-1
1468,52730924,-1
765,25868681,-1
692,15228098,-1
98,50823986,-1
173,55192972,-1
302,51439164,1
369,21412936,-1
1496,21202926,-1
206,69932303,-1
2118,49975343,-1
1605,79268202,-1
231,61324061,-1
1566,37173929,-1
894,31731396,-1
191,67875102,-1
916,50892376,-1
1483,37890591,-1
1468,73410205,-1
1291,2633848,-1
561,3780803,-1
1566,34581564,-1
1379,47337157,-1
411,54591290,-1
1790,9625611,-1
404,65460418,-1
1284,16911282,-1
1254,81850772,-1
1379,32603030,-1
191,5539018,-1
903,50914352,-1
411,69522010,-1
2048,35864363,-1
1918,71214278,-1
1415,37375382,-1
692,14284955,-1
1107,73106166,-1
1781,940131,-1
1468,71136755,-1
136,7682414,-1
1044,12200446,-1
136,81227650,-1
692,53766170,-1
792,67548475,-1
916,77134104,-1
471,53898296,-1
1622,11098420,-1
2031,70391555,-1
411,50907761,-1
1415,33448681,-1
389,47562376,-1
70,68523345,-1
1338,1998194,-1
212,56279604,-1
369,45696312,-1
727,5177433,-1
1182,48143748,1
846,50276776,-1
966,82020572,-1
1566,68228756,-1
231,81868503,-1
174,20895741,-1
2031,80747641,1
914,65516818,-1
1375,73223111,-1
191,77073987,-1
1379,39959403,-1
74,10228821,-1
765,22114317,-1
1716,20595651,-1
1530,36370208,-1
70,76942019,-1
313,72224495,-1
18,42818020,-1
1407,58517905,-1
846,17591855,-1
1415,25578567,-1
1254,43755427,-1
206,46528678,-1
966,78243505,-1
411,5398760,-1
1415,63462352,-1
411,4058585,-1
1415,70058206,-1
1379,55783455,-1
191,8249235,-1
411,82387610,-1
1998,33103265,-1
191,8903386,-1
561,77777703,-1
1566,67035947,-1
1215,54421037,-1
1950,30223942,-1
792,21973124,-1
1622,76609589,-1
932,36806243,-1
432,34394065,-1
1622,36783176,-1
2068,12846272,1
432,50668779,-1
1415,11660081,-1
411,53644843,-1
389,67076765,-1
1918,26290867,-1
916,16399840,1
1714,78643529,-1
1119,12961403,-1
1379,45723189,-1
2118,70678316,-1
1017,1284039,-1
205,56078794,-1
1407,33555401,1
561,68941790,-1
1017,28549832,-1
70,42926363,-1
1468,54494912,-1
191,32693848,-1
1468,10882413,-1
1291,2009602,-1
1277,18307948,-1
411,29833798,-1
1605,18515159,-1
2048,60849995,-1
692,57782384,-1
1530,14411130,-1
1407,79285350,-1
70,38016591,-1
2118,16795890,-1
916,69119773,-1
1716,57726742,-1
302,66147598,-1
136,5630734,-1
1566,57121589,-1
1918,78955650,-1
1596,38539019,-1
1749,61484162,-1
1407,71013172,-1
1605,55258803,-1
846,14364597,-1
725,9218932,-1
1449,21466470,1
916,69159410,-1
894,27852518,-1
692,20036980,-1
191,41247164,-1
1119,16065832,-1
1483,44190658,-1
1842,14052124,-1
1635,64426502,-1
1605,70491881,-1
960,60121998,-1
1291,38797350,-1
1291,73110266,-1
2048,80690063,-1
1415,40535411,-1
12,57870775,-1
914,63801510,-1
191,59633455,-1
1508,27526374,-1
846,48621436,-1
1254,63286865,-1
1468,62311183,-1
191,69198458,-1
121,72318375,-1
914,69601346,-1
174,57502559,-1
1596,66638788,-1
1918,50326983,-1
70,32559773,-1
1468,58910270,-1
411,22280639,-1
562,78948653,-1
191,44084815,-1
1044,68939429,-1
1119,5432050,-1
1566,69712751,-1
529,65543232,-1
765,14252770,1
903,35590170,-1
748,44822893,-1
1716,77192310,-1
561,18763180,-1
1044,59971606,-1
1407,10680200,-1
70,49240855,-1
516,34761173,-1
1904,16406539,-1
916,51553074,-1
1950,82292520,-1
1140,47923650,-1
1894,17099722,-1
1635,21103786,-1
2201,21848492,-1
1599,57798470,-1
692,80961759,-1
302,35349104,-1
1377,35783197,-1
411,907227,-1
404,23989529,-1
173,50969507,-1
191,56954552,1
1468,56484945,-1
1119,48543638,-1
1970,41922372,-1
1468,14666218,-1
1119,81873514,-1
1375,48801507,-1
174,48682860,-1
2031,20612094,-1
1468,24574993,-1
191,17923040,-1
1338,63972687,-1
1021,25958280,-1
1407,53431172,1
686,75925878,-1
561,23065775,-1
1819,40030923,-1
1468,47509750,1
1468,28716843,-1
1119,15082708,-1
1605,24526113,-1
1496,50872998,-1
1468,3098420,-1
692,65525667,-1
471,76167398,-1
2154,4341479,-1
1254,77233795,-1
692,77209136,-1
846,37990443,-1
136,69624361,-1
561,69270922,-1
914,52690850,-1
916,12335677,-1
369,75927301,-1
145,8971763,-1
311,75320599,-1
916,41828796,1
846,51380562,-1
1566,1271319,-1
699,66172036,-1
966,59755805,-1
432,10608960,-1
272,60906380,-1
369,19480159,-1
136,7782750,-1
692,30367201,-1
1468,17628126,-1
2118,57066160,-1
1407,39722772,-1
1566,73719933,-1
916,48414105,-1
136,11754639,-1
191,59527374,-1
191,15741050,1
145,1640947,-1
765,36893074,-1
1918,17409055,-1
914,57966935,-1
1379,22720488,-1
1566,50671347,-1
1950,39009349,-1
191,6734865,-1
692,75953108,-1
173,68397192,-1
121,79180425,-1
1827,24247318,-1
1379,42924629,-1
1119,80079664,-1
688,77338823,-1
1950,63435327,-1
1291,45107450,-1
411,65385363,-1
1291,41360953,-1
286,64158507,-1
302,34100068,-1
1415,13432406,-1
1507,63713186,-1
1415,72042890,1
411,67684372,-1
914,3293848,-1
1566,42479444,-1
389,62640678,-1
1950,59679661,-1
411,44917869,-1
1350,74193364,-1
411,54635996,1
1931,62169264,-1
1449,9179063,1
411,5494985,-1
561,39273353,-1
70,70847279,-1
1950,26440234,-1
302,8049244,-1
1918,61119836,-1
1496,74937200,-1
939,32141041,1
1254,40722855,1
2031,79151388,-1
70,73402374,-1
302,26918859,-1
411,75026310,-1
519,52276116,-1
1716,59471525,-1
1621,60125323,-1
136,25108155,-1
903,42202432,-1
1215,76032294,-1
692,62697230,-1
1918,32267967,-1
1566,51817184,-1
2031,26927740,1
1468,12744501,-1
1468,6782837,-1
1291,35662568,-1
2031,41573479,-1
1605,33009243,-1
1317,5932313,-1
1496,60870397,-1
411,35491429,-1
1415,31665152,-1
1940,7784040,1
561,482038,-1
1566,56278933,-1
692,44143180,-1
1530,29292986,-1
1119,49734231,-1
1202,43230117,-1
1379,67968747,-1
1335,2946226,-1
903,80883352,-1
1468,72108168,-1
903,7534112,-1
561,19798414,-1
389,28886519,-1
191,16911736,-1
692,6646691,-1
1566,53286145,-1
1749,28093365,-1
932,22174970,-1
1201,40579295,-1
404,59143108,-1
692,53826967,-1
1566,43473656,-1
1566,55082464,-1
543,5649112,-1
1566,55687894,-1
1530,74418782,-1
1940,37810275,-1
191,41854879,-1
1566,68320325,-1
302,7755307,-1
1468,24182908,-1
1291,70244463,-1
977,8900369,-1
1230,34698841,-1
1119,46839798,-1
692,23621548,-1
1119,19109914,-1
1508,42108244,-1
70,27281885,-1
1023,26393498,-1
1119,59779189,-1
1171,24253168,-1
177,50501154,-1
191,49346980,-1
1415,64351811,-1
543,5459729,-1
1119,54732871,-1
1201,5962871,-1
914,49102575,-1
1918,28300769,-1
1468,10143862,-1
389,1481475,-1
1119,30394669,-1
792,316827,-1
136,23450587,1
70,32279360,-1
286,41822225,-1
1375,19091632,-1
727,60528286,-1
173,68992048,-1
1407,9042212,-1
1291,13475163,-1
1468,61305917,-1
1291,73630096,-1
411,36799614,-1
1254,62001758,-1
561,75810460,-1
1530,81456327,-1
1530,33020475,-1
1377,57129639,-1
411,43743815,-1
792,36358442,-1
404,2851833,-1
681,3607324,-1
389,78675243,-1
212,48061991,-1
145,65712403,-1
1017,23319858,1
1468,36672743,-1
692,3189185,1
432,25566376,-1
1468,1899184,-1
1596,61374260,-1
692,40554335,-1
1596,77504004,-1
1468,6989494,-1
1635,50563580,-1
561,3252491,-1
173,35236578,-1
302,75420040,-1
2201,45713201,-1
1716,61343470,-1
191,22435079,-1
191,82242203,-1
1415,72265491,-1
1291,35402855,-1
1950,5387367,-1
1017,38326702,-1
2050,25938797,-1
12,46542264,-1
1950,69463262,-1
389,13857594,-1
1468,66680107,-1
1379,7915018,-1
1605,37253087,-1
543,9840770,-1
1749,81467970,-1
191,60426895,-1
1379,55447302,-1
519,78952576,-1
1931,48146030,-1
1291,73306664,-1
647,8328327,-1
1605,41406423,-1
692,56451501,-1
1379,44865617,-1
1338,55077348,-1
1998,15136872,-1
1530,7117794,-1
1277,67721086,-1
1950,26010384,-1
1291,4740520,-1
404,61731029,-1
1781,46319261,-1
1530,24888697,-1
1044,53196608,1
212,80277915,-1
2205,53643588,-1
1119,45033103,1
2031,5645514,-1
1728,41702303,-1
411,21487878,-1
311,77039759,-1
692,69344388,-1
1119,7260953,-1
1781,74589132,-1
1119,66439921,-1
977,11319773,-1
117,63380301,-1
1530,8807590,-1
1415,51318320,-1
1379,77310994,-1
1415,14117377,-1
2050,62198947,-1
916,78324225,-1
2118,42279809,-1
1622,58525171,-1
1496,34141549,1
1119,24345076,-1
1950,54274481,-1
1566,79692856,-1
117,19883610,-1
311,51320659,1
1119,15137964,-1
117,98019,-1
1671,73049548,-1
681,70447807,-1
1291,42648771,-1
966,37181214,-1
932,31763883,-1
692,75182576,-1
692,18619604,-1
699,61408749,1
411,35498323,-1
1119,4486914,-1
2031,77233072,-1
1468,40412075,-1
70,75453854,-1
70,450512,-1
286,46659896,-1
1201,59279384,-1
699,21622786,-1
692,20526264,-1
1023,9999925,-1
692,13076989,-1
1291,14958186,-1
975,70375766,-1
765,40205458,-1
692,5658457,-1
191,34057098,-1
1119,73253316,-1
1998,38725590,-1
692,47522650,-1
765,29343296,-1
1728,55728193,-1
1605,58668485,-1
692,68992334,-1
411,4567994,-1
411,66518005,-1
916,79566551,-1
411,51021312,-1
1407,37817624,-1
1827,73674987,-1
1201,39533225,-1
2118,17252323,-1
1566,68257545,-1
1407,60033190,-1
1918,32395667,-1
561,15900479,-1
561,55857131,-1
98,59532386,-1
1468,48703714,-1
692,66863869,-1
313,46221229,-1
660,36665377,-1
1530,35532488,-1
914,58767237,-1
1415,31756034,-1
1827,39009850,-1
2050,69601988,-1
1017,61265317,-1
1201,7829789,-1
1998,68721905,-1
191,26164796,-1
1468,9126215,-1
1291,73799512,-1
231,53657822,-1
692,72783022,-1
966,25105027,-1
7,53347075,-1
1242,29400947,-1
1566,46105719,-1
1605,12762249,-1
1415,33369136,-1
191,49826395,-1
136,65807636,-1
432,77995895,-1
748,27977059,-1
561,58814243,1
1950,10278939,-1
1021,2066428,-1
1496,74160386,-1
1566,37430721,-1
1291,68869438,-1
692,80691159,1
1962,52380344,-1
692,18501629,-1
1119,11278045,-1
1827,318139,-1
191,19961262,-1
1415,57839996,-1
117,39459111,-1
916,860942,-1
1057,47905449,-1
1998,15629223,-1
792,55316011,-1
692,59110145,-1
1904,10056315,-1
846,57631752,-1
1119,5736352,-1
1201,77706917,-1
1379,32147408,-1
692,26271643,-1
692,31074608,-1
18,79426038,-1
411,78996232,-1
231,22557392,-1
914,75622430,-1
1918,22357076,-1
2044,55951068,-1
1918,5734580,-1
164,59718793,-1
191,20138943,-1
70,13854928,-1
692,19408779,-1
1415,40456149,-1
2112,14946003,-1
1468,46220628,-1
1407,24413323,-1
1894,81842946,-1
411,25458912,-1
1918,77358443,-1
692,8378175,-1
1201,79779343,-1
916,54292748,-1
1530,11736739,-1
1338,61914342,-1
1230,4396896,1
2050,29301709,-1
136,68264309,-1
1350,78331024,-1
1291,46234135,-1
916,80546895,-1
1254,81717991,-1
231,13191956,-1
1375,73532371,-1
1468,69198418,-1
1379,39012178,-1
1377,48097860,-1
1119,40406526,-1
70,43184763,-1
2197,34052491,-1
1596,45566449,-1
389,64381541,-1
286,9964025,-1
1827,10122093,-1
411,17632453,-1
692,31804909,-1
206,60286952,-1
2118,79789977,-1
1580,78306958,-1
1254,1582251,-1
2013,18759324,-1
1918,27035472,-1
1254,28840723,-1
1566,45168198,-1
311,71454677,-1
543,6899989,-1
1962,43876070,-1
1716,49509979,-1
117,61668866,-1
725,53926552,-1
846,9730102,-1
1841,32638235,-1
1407,73452205,-1
543,40337173,-1
136,69552086,-1
516,65945081,-1
1085,8010512,-1
1918,56740718,-1
966,46864899,-1
966,68127549,-1
1415,1297234,-1
966,29620766,-1
561,53500122,-1
12,1482800,-1
411,13352718,-1
70,39282204,-1
1468,34126329,-1
1468,7262681,-1
1530,67880435,-1
1621,55115235,-1
1728,68257689,-1
2013,49886747,-1
914,37852637,-1
411,44298942,-1
561,52498319,-1
369,14453589,-1
699,70971537,-1
916,32088775,-1
411,53751378,-1
1483,22033076,-1
846,63720788,-1
1508,77478557,-1
411,77456322,1
561,52153990,-1
311,1619980,1
561,71042083,-1
1468,18227340,1
727,67922953,-1
1530,74903925,-1
1119,30643045,-1
411,80821374,-1
1023,59837584,-1
2154,70719929,-1
1991,71906116,-1
1119,23805812,-1
699,64857072,1
1291,67252094,-1
1496,35082486,-1
1338,57624250,-1
117,61203084,-1
1781,67764476,-1
692,9303266,-1
1291,17455629,-1
404,82346435,-1
1749,10963512,-1
1468,10132669,-1
191,57539807,-1
1918,34937586,-1
692,113223,-1
7,44133125,-1
1605,76109195,-1
1119,23488386,-1
846,67965233,-1
692,27447117,-1
1119,35770989,-1
145,71346468,-1
1415,23044897,-1
12,47018705,-1
748,22900299,-1
914,43503465,-1
191,47882830,-1
1998,74171177,-1
543,65567245,-1
561,75724218,1
1918,46497505,-1
1596,73586021,-1
1021,32122737,-1
1140,41241167,-1
692,67544742,-1
1468,12160711,-1
1415,31358672,-1
121,31075790,-1
313,78998991,-1
404,25787303,-1
1950,5756863,-1
1918,68975586,-1
846,3492715,-1
792,25280691,-1
692,59585459,-1
692,82273897,-1
1918,49616913,-1
1468,25693321,-1
692,69235200,-1
2201,11788649,-1
1119,48768547,-1
692,74177118,-1
2031,60487448,-1
1291,49426820,-1
916,76687502,-1
1530,21155234,-1
411,61448965,-1
191,29726198,-1
692,11496703,-1
692,17244813,-1
1468,10375241,-1
1918,74948367,-1
70,10276697,-1
1468,71563314,-1
1966,68822086,-1
1277,54517924,-1
191,2377863,-1
411,73164924,-1
966,21942337,-1
1415,65550046,-1
117,53433786,-1
302,49394673,-1
543,64586655,-1
765,25008644,-1
1483,31268398,-1
1596,47583099,-1
916,68991507,-1
1596,44578357,-1
411,80648857,-1
1781,68581012,-1
561,17205765,-1
1468,55322276,-1
561,10990508,-1
1379,45300871,-1
1375,55311392,-1
1468,4799962,-1
875,38618884,-1
1530,45623895,-1
1904,43445104,-1
136,54449874,-1
302,55062679,-1
1023,65317291,-1
1468,30168075,-1
1023,81956314,-1
692,52458043,-1
692,54617240,-1
1847,65229910,1
792,47628611,-1
1827,697642,1
966,65241293,-1
561,9257296,-1
1379,20000728,-1
1827,77268275,-1
70,70975318,-1
1468,55703350,-1
692,67752816,-1
894,1252620,-1
792,22525474,-1
1790,64607697,-1
1841,6461020,-1
191,47138014,-1
302,20274335,-1
1605,55221027,-1
1119,80422828,-1
1635,33282433,-1
2013,76423125,-1
2112,31767439,-1
1415,33524361,-1
1119,32385812,-1
1291,29958789,-1
2118,69899725,-1
70,52739352,1
1530,38448906,-1
173,61566227,-1
1827,60684743,-1
1931,15378618,-1
212,25298178,-1
1017,25854356,-1
117,50815062,-1
1918,36414857,-1
1566,77090862,-1
1119,43417218,-1
411,49300475,-1
1904,22196596,-1
692,53939395,-1
1119,34652198,-1
1503,3454120,1
311,20086441,-1
302,32822349,-1
966,36947826,-1
1605,20978800,-1
692,7705516,-1
1966,9864190,-1
1415,20474846,-1
1918,8426047,-1
1468,18394315,-1
1044,6264284,-1
1605,23080707,-1
1021,71339026,-1
916,67734873,-1
1291,19077040,-1
1918,63646379,-1
1119,63355538,-1
1918,19876094,-1
692,30604007,-1
411,65425030,-1
914,63976036,-1
1291,38701338,-1
411,57201514,-1
846,30410040,-1
914,57405326,-1
1119,69541528,-1
1415,624418,1
1566,50044050,-1
1728,71286032,-1
1291,2993250,-1
1291,23687166,-1
2054,15223625,-1
1254,69033189,-1
